ISO,País,Población total,Población mayor de 65 años,Porcentaje mayores 65 años
AUT,Austria,8978929,1745690,0.19440000000000002
BEL,Bélgica,11617623,2269482,0.1953
BGR,Bulgaria,6838937,1482177,0.2167
CHE,Suiza,8738791,1661319,0.19010000000000002
CYP,Chipre,904705,149492,0.16519999999999999
CZE,Rep. Checa,10516707,2169109,0.20629999999999998
DEU,Alemania,83237124,18436499,0.22149999999999997
DNK,Dinamarca,5873420,1195216,0.20350000000000001
ESP,España,47432893,9526631,0.20079999999999998
EST,Estonia,1331796,272146,0.20430000000000001
EU,UE-27,446735291,94341923,0.2112
FIN,Finlandia,5548241,1279036,0.23050000000000001
FRA,Francia,67871925,14225883,0.20960000000000001
GRC,Grecia,10459782,2373153,0.22690000000000002
HRV,Croacia,3862305,868546,0.22489999999999999
HUN,Hungría,9689010,1990342,0.2054
IRL,Irlanda,5060004,761373,0.15049999999999999
ISL,Islandia,376248,56367,0.14980000000000002
ITA,Italia,59030133,14051404,0.23800000000000002
LIE,Liechtenstein,39308,7538,0.1918
LTU,Lituania,2805998,560628,0.19980000000000001
LUX,Luxemburgo,645397,95199,0.14749999999999999
LVA,Letonia,1875757,391623,0.20879999999999999
MKD,Macedonia del Norte,1837114,313340,0.17059999999999997
MLT,Malta,520971,100080,0.19210000000000002
MNE,Montenegro,617683,98848,0.16
NLD,Países Bajos,17590672,3525453,0.20039999999999999
NOR,Noruega,5425270,989474,0.18239999999999998
POL,Polonia,37654247,7208230,0.19140000000000001
PRT,Portugal,10352042,2449743,0.2366
ROU,Rumanía,19042455,3706321,0.1946
SRB,Serbia,6797105,1447834,0.21299999999999999
SVK,Eslovaquia,5434712,944958,0.1739
SVN,Eslovenia,2107180,444743,0.21109999999999998
SWE,Suecia,10452326,2118766,0.20269999999999999
UKR,Ucrania,40997698,7231106,0.1764
